/Users/lijunsun/anaconda3/envs/myenv37/bin/python /Users/lijunsun/Workspace/multiple_preys_pursuit_pomg/test_sop_statistical_results.py
Command: python run_sop.py  --x_size=40 --y_size=40 --n_pursuers=256 --n_targets=64 --n_episodes=100
Seed  49 	 Episode  49 	 EpLen 46 	 CaptureRate 1.000 	 Collisions 0 Time 92.544
Seed  50 	 Episode  50 	 EpLen 500 	 CaptureRate 0.992 	 Collisions 0 Time 797.987
Seed  51 	 Episode  51 	 EpLen 500 	 CaptureRate 0.984 	 Collisions 0 Time 792.287
Seed  52 	 Episode  52 	 EpLen 500 	 CaptureRate 0.984 	 Collisions 0 Time 793.081
Seed  53 	 Episode  53 	 EpLen 131 	 CaptureRate 1.000 	 Collisions 0 Time 233.547
Seed  54 	 Episode  54 	 EpLen 500 	 CaptureRate 0.992 	 Collisions 0 Time 783.211
Seed  55 	 Episode  55 	 EpLen 92 	 CaptureRate 1.000 	 Collisions 0 Time 157.467
Seed  56 	 Episode  56 	 EpLen 26 	 CaptureRate 1.000 	 Collisions 0 Time 63.638
Seed  57 	 Episode  57 	 EpLen 500 	 CaptureRate 0.992 	 Collisions 0 Time 781.312
Seed  58 	 Episode  58 	 EpLen 500 	 CaptureRate 0.992 	 Collisions 0 Time 784.954
Seed  59 	 Episode  59 	 EpLen 500 	 CaptureRate 0.992 	 Collisions 0 Time 833.382
Collision! ep_len, idx_predator, role, position: 14 450 searcher [6 4]
Collision! ep_len, idx_predator, role, position: 15 450 searcher [6 5]
Collision! ep_len, idx_predator, role, position: 16 450 searcher [6 4]
Collision! ep_len, idx_predator, role, position: 17 450 searcher [6 5]
Collision! ep_len, idx_predator, role, position: 18 450 searcher [7 5]
Collision! ep_len, idx_predator, role, position: 19 450 searcher [6 5]
Collision! ep_len, idx_predator, role, position: 20 450 searcher [7 5]
Collision! ep_len, idx_predator, role, position: 21 450 searcher [6 5]
Collision! ep_len, idx_predator, role, position: 22 450 searcher [7 5]
Collision! ep_len, idx_predator, role, position: 23 450 searcher [6 5]
Collision! ep_len, idx_predator, role, position: 24 450 searcher [7 5]
Collision! ep_len, idx_predator, role, position: 25 450 searcher [6 5]
Collision! ep_len, idx_predator, role, position: 26 450 searcher [7 5]
Seed  60 	 Episode  60 	 EpLen 27 	 CaptureRate 1.000 	 Collisions 13 Time 64.220
Seed  61 	 Episode  61 	 EpLen 500 	 CaptureRate 0.992 	 Collisions 0 Time 796.021
Seed  62 	 Episode  62 	 EpLen 106 	 CaptureRate 1.000 	 Collisions 0 Time 190.015
Seed  63 	 Episode  63 	 EpLen 497 	 CaptureRate 1.000 	 Collisions 0 Time 836.934
Seed  64 	 Episode  64 	 EpLen 33 	 CaptureRate 1.000 	 Collisions 0 Time 75.511
Seed  65 	 Episode  65 	 EpLen 28 	 CaptureRate 1.000 	 Collisions 0 Time 67.084
Seed  66 	 Episode  66 	 EpLen 29 	 CaptureRate 1.000 	 Collisions 0 Time 68.202
Seed  67 	 Episode  67 	 EpLen 500 	 CaptureRate 0.961 	 Collisions 0 Time 810.208
Collision! ep_len, idx_predator, role, position: 384 452 searcher [15 36]
Collision! ep_len, idx_predator, role, position: 385 452 searcher [14 36]
Collision! ep_len, idx_predator, role, position: 386 452 searcher [14 37]
Collision! ep_len, idx_predator, role, position: 387 452 searcher [14 36]
Collision! ep_len, idx_predator, role, position: 388 452 searcher [14 37]
Collision! ep_len, idx_predator, role, position: 389 452 searcher [13 37]
Collision! ep_len, idx_predator, role, position: 390 452 searcher [13 36]
Collision! ep_len, idx_predator, role, position: 391 452 searcher [14 36]
Seed  68 	 Episode  68 	 EpLen 500 	 CaptureRate 0.992 	 Collisions 8 Time 811.366
Seed  69 	 Episode  69 	 EpLen 500 	 CaptureRate 0.992 	 Collisions 0 Time 822.882
Seed  70 	 Episode  70 	 EpLen 500 	 CaptureRate 0.977 	 Collisions 0 Time 801.697
Seed  71 	 Episode  71 	 EpLen 61 	 CaptureRate 1.000 	 Collisions 0 Time 116.270
Seed  72 	 Episode  72 	 EpLen 500 	 CaptureRate 0.992 	 Collisions 0 Time 807.125
Seed  73 	 Episode  73 	 EpLen 38 	 CaptureRate 1.000 	 Collisions 0 Time 81.815
Seed  74 	 Episode  74 	 EpLen 63 	 CaptureRate 1.000 	 Collisions 0 Time 117.280
