Epoch	MAEnvIterations	TotalEnvInteracts	EpLen	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageCaptureRate	StdCaptureRate	MaxCaptureRate	MinCaptureRate	AverageCollisions	StdCollisions	MaxCollisions	MinCollisions	AverageCollideObstacles	StdCollideObstacles	MaxCollideObstacles	MinCollideObstacles	AverageVVals	StdVVals	MaxVVals	MinVVals	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time	Processes	Agents
46	23500	188000	500.0	-12.908334	9.668912	0.8	-30.45	0.37666667	0.07249521	0.46	0.28	3.8333333	3.5784853	11.0	1.0	4.6666665	1.2472191	7.0	3.0	1.0955461	23.278286	82.574554	-279.92545	-0.0005222981	466.40475	0.0	-368.19827	1.5971843	-3.0050673e-09	475.3517429828644	6	8
47	24000	192000	500.0	-11.908334	8.806269	-0.45	-23.45	0.37666667	0.037267797	0.44	0.32	3.5	2.362908	7.0	1.0	5.1666665	1.7716908	8.0	3.0	-2.299374	14.387633	61.07689	-349.43784	0.0001744603	217.1455	0.0	-134.3941	1.5945622	-7.5499224e-10	485.1994962692261	6	8
48	24500	196000	500.0	-12.783334	12.834415	0.8	-32.95	0.34666666	0.10498677	0.46	0.16	3.1666667	3.6704524	10.0	0.0	5.3333335	1.6996732	7.0	2.0	0.2081276	19.85991	82.10589	-115.769806	0.0007423249	304.7014	0.0	-224.61336	1.5946116	-9.432435e-09	495.2381031513214	6	8
49	25000	200000	500.0	-11.366668	12.715367	6.55	-29.95	0.47333336	0.103709	0.6	0.3	5.3333335	3.543382	10.0	1.0	3.6666667	0.74535596	5.0	3.0	-3.3316453	12.838893	74.08161	-102.15975	1.4876326e-05	192.70325	0.0	-112.99789	1.5973397	-1.2417635e-09	505.4970073699951	6	8
50	25500	204000	500.0	-11.991668	7.4476185	-4.2	-25.2	0.38333336	0.06574361	0.5	0.3	3.6666667	2.2110832	8.0	1.0	4.3333335	0.942809	5.0	3.0	-6.0337977	15.588547	81.88797	-118.07837	-0.0018917155	211.10036	0.0	-144.49443	1.5937015	7.8628455e-09	515.5044400691986	6	8
51	26000	208000	500.0	-22.616669	13.97145	-4.2	-47.2	0.37333333	0.048534065	0.46	0.3	7.0	5.066228	17.0	1.0	4.5	0.5	5.0	4.0	-2.53061	12.901392	59.571877	-108.576355	0.0002994711	225.41339	0.0	-137.0826	1.5924139	-1.485149e-09	525.6196937561035	6	8
52	26500	212000	500.0	-20.158335	17.84331	-1.7	-55.7	0.39666665	0.04068851	0.44	0.34	6.3333335	5.5277076	17.0	0.0	3.8333333	1.0671874	5.0	2.0	-2.8566902	16.45064	51.824287	-171.23853	0.0013555065	264.49704	0.0	-169.5168	1.5927724	-6.576379e-09	535.6443254947662	6	8
53	27000	216000	500.0	-10.783334	12.645542	3.8	-33.7	0.3866667	0.06896053	0.48	0.28	3.3333333	3.543382	10.0	0.0	4.6666665	0.74535596	6.0	4.0	-1.3541846	13.061245	55.193768	-207.42192	0.00038921335	165.74025	0.0	-112.084694	1.5934986	-2.6573737e-09	545.5637412071228	6	8
54	27500	220000	500.0	-6.7833343	10.860542	14.55	-18.7	0.46666667	0.11869662	0.68	0.32	3.6666667	1.9720265	7.0	1.0	4.5	1.2583058	6.0	3.0	-0.9389893	14.930344	59.276447	-273.4663	-4.06156e-05	193.93285	0.0	-120.76127	1.5922157	-7.579724e-09	555.2449934482574	6	8
55	28000	224000	500.0	-25.866669	12.650483	-10.2	-47.7	0.39333335	0.087686315	0.54	0.26	8.5	3.095696	13.0	3.0	3.3333333	1.2472191	5.0	1.0	-1.3690604	11.597542	52.069668	-263.01425	-0.002165804	201.34908	0.0	-100.05955	1.5936483	1.599391e-09	565.4731712341309	6	8
56	28500	228000	500.0	-5.9083333	9.226792	6.3	-17.2	0.45666668	0.1097978	0.58	0.24	3.1666667	3.1313822	8.0	0.0	4.1666665	1.5723301	6.0	2.0	-2.8699896	9.757382	59.33152	-82.83867	-0.0013620245	117.00149	0.0	-69.203606	1.5924133	9.799996e-09	575.4848718643188	6	8
57	29000	232000	500.0	-116.700005	157.87311	1.05	-440.2	0.42	0.11075498	0.56	0.24	39.666668	53.770084	149.0	1.0	3.8333333	0.89752746	5.0	2.0	-3.4677532	24.74941	51.76813	-212.65324	0.0025796394	9438.87	0.0	-6640.0073	1.5944792	-7.127722e-09	585.4235000610352	6	8
58	29500	236000	500.0	-128.45001	244.03496	-4.7	-673.7	0.43999997	0.060000006	0.54	0.34	43.833332	81.55043	226.0	2.0	3.3333333	2.2110832	6.0	0.0	-23.538198	51.855442	95.508415	-363.043	-0.0035396218	11679.371	0.0	-8840.382	1.5944415	9.9788116e-09	595.0503532886505	6	8
59	30000	240000	500.0	-140.075	261.65756	-1.2	-724.2	0.47000003	0.13699149	0.64	0.24	47.0	83.71579	234.0	5.0	2.8333333	1.0671873	4.0	1.0	-34.02491	136.53745	136.62865	-1365.4308	0.0011345148	6182.1523	0.0	-4817.3145	1.5971203	4.1400394e-09	605.0853581428528	6	8
60	30500	244000	500.0	-19.283335	16.43907	-5.45	-52.45	0.46666667	0.10044347	0.6	0.32	7.8333335	6.335526	20.0	2.0	3.0	1.0	4.0	1.0	-13.488302	39.179718	127.763115	-802.1165	-0.0018961815	1297.5651	0.0	-1055.1375	1.5909258	5.727013e-09	615.1560921669006	6	8
61	31000	248000	500.0	-141.45	290.19522	5.05	-789.95	0.4	0.090184994	0.48	0.24	47.333332	95.59754	261.0	0.0	3.0	1.5275252	6.0	1.0	-13.46046	45.917355	122.74391	-335.32587	0.0030552794	15171.776	0.0	-12947.399	1.59473	3.417333e-09	625.4393587112427	6	8
62	31500	252000	500.0	-13.325001	12.775913	1.55	-28.7	0.45000002	0.11239811	0.66	0.32	5.5	3.304038	10.0	1.0	3.0	1.6329932	6.0	1.0	-11.840978	33.64819	132.7332	-487.58994	-0.0019658443	955.6667	0.0	-805.8581	1.592193	-6.909172e-09	635.5549907684326	6	8
63	32000	256000	500.0	-10.616668	8.589804	-0.95	-20.45	0.41333333	0.05849976	0.48	0.32	3.8333333	1.86339	6.0	2.0	3.3333333	1.2472192	6.0	2.0	-2.9966967	19.123783	92.03324	-159.74347	0.0009032041	264.6807	0.0	-189.28847	1.59027	1.0142724e-08	645.7298438549042	6	8
64	32500	260000	500.0	-26.950003	9.678154	-11.2	-43.45	0.48000002	0.076594174	0.62	0.38	10.666667	4.109609	17.0	5.0	1.5	1.2583058	3.0	0.0	-4.4457316	11.569596	112.00384	-226.88731	-0.00026225546	205.24525	0.0	-87.02933	1.593825	3.2608707e-09	655.8585207462311	6	8
65	33000	264000	500.0	-24.033335	8.373653	-9.7	-32.7	0.40666667	0.08459051	0.52	0.3	8.166667	3.2360814	13.0	2.0	3.5	1.118034	5.0	2.0	-8.545623	18.915133	64.5008	-235.28236	-0.0020434756	297.7495	0.0	-182.8802	1.593792	7.582208e-09	665.7902705669403	6	8
66	33500	268000	500.0	-26.491669	11.072128	-12.7	-40.2	0.38666666	0.04714045	0.48	0.34	8.5	4.2720017	13.0	3.0	3.1666667	1.0671873	4.0	1.0	-5.49107	13.272782	57.882812	-94.553406	-0.00065870705	205.08961	0.0	-108.63358	1.5904808	5.6351226e-09	675.9994173049927	6	8
67	34000	272000	500.0	-167.82501	340.73557	2.3	-929.2	0.4533333	0.124721915	0.58	0.22	57.166668	111.77867	307.0	3.0	3.0	1.2909944	5.0	1.0	-9.60869	27.58823	83.674126	-181.99097	0.006838359	19924.67	0.0	-18172.299	1.5891981	3.6756184e-10	685.9115812778473	6	8
68	34500	276000	500.0	-83.78333	103.35797	-4.95	-290.95	0.42333332	0.08595864	0.56	0.3	28.833334	34.251114	98.0	5.0	3.5	0.95742714	5.0	2.0	-16.666311	48.28428	210.88419	-546.72266	-0.002466644	6644.061	0.0	-4282.819	1.5865793	1.2119611e-09	695.7952198982239	6	8
69	35000	280000	500.0	-9.741668	8.017451	0.3	-20.95	0.40333334	0.07608475	0.5	0.28	3.3333333	2.981424	8.0	1.0	2.5	1.7078252	5.0	0.0	-23.946747	36.575706	83.425575	-248.70445	-0.0064116516	1237.6499	0.0	-1043.8699	1.5953865	2.0538768e-09	705.71963763237	6	8
