Episode	EpLen	EpRet	CaptureRate	Collisions	CollisionsWithObstacles	QLoss	PLoss	HaveLoss	Time(s)
204	500	-6.750000000000137	0.34	0	7	nan	nan	False	4.16
205	500	0.7499999999999858	0.46	0	6	nan	nan	False	4.07
206	500	-2.5000000000001696	0.36	0	5	nan	nan	False	4.32
207	500	2.0000000000000586	0.48	0	5	nan	nan	False	4.111
208	500	-9.750000000000115	0.34	0	6	nan	nan	False	4.347
209	500	-10.000000000000147	0.24	0	6	nan	nan	False	4.669
210	500	-16.499999999999982	0.28	0	7	nan	nan	False	4.388
211	500	-5.000000000000079	0.32	0	6	nan	nan	False	4.214
212	500	-8.750000000000053	0.26	0	8	nan	nan	False	4.354
213	500	-12.500000000000112	0.2	0	7	nan	nan	False	4.274
214	500	-31.249999999999986	0.38	0	7	nan	nan	False	4.406
215	500	-21.24999999999988	0.3	0	7	nan	nan	False	4.245
216	500	-24.000000000000085	0.16	0	7	nan	nan	False	4.711
217	500	-6.249999999999995	0.3	0	7	nan	nan	False	4.196
218	500	-11.000000000000133	0.32	0	5	nan	nan	False	4.256
219	500	-44.49999999999988	0.34	0	6	nan	nan	False	4.057
220	500	7.500000000000011	0.52	0	6	nan	nan	False	3.978
221	500	-21.25000000000025	0.28	0	6	nan	nan	False	4.183
222	500	-7.7500000000001545	0.42	0	5	nan	nan	False	4.103
223	500	-543.4999999999991	0.2	1	8	nan	nan	False	4.581
224	500	6.999999999999962	0.56	0	5	nan	nan	False	4.287
225	500	-34.999999999999865	0.32	0	6	nan	nan	False	4.383
226	500	-24.249999999999854	0.3	0	7	nan	nan	False	4.125
227	500	-3.750000000000182	0.34	0	7	nan	nan	False	4.157
228	500	-6.250000000000032	0.3	0	5	nan	nan	False	4.183
229	500	-6.750000000000064	0.34	0	3	nan	nan	False	4.412
230	500	-15.000000000000036	0.4	0	5	nan	nan	False	4.336
231	500	-24.74999999999978	0.34	0	6	nan	nan	False	4.24
232	500	-31.749999999999773	0.18	0	8	nan	nan	False	4.637
233	500	-4.750000000000162	0.42	0	6	nan	nan	False	4.242
234	500	-6.25000000000012	0.3	0	6	nan	nan	False	4.216
235	500	-22.00000000000007	0.24	0	7	nan	nan	False	4.217
236	500	-10.250000000000135	0.38	0	6	nan	nan	False	4.41
237	500	-480.4999999999989	0.2	1	7	nan	nan	False	4.663
238	500	-15.00000000000012	0.16	0	8	nan	nan	False	4.468
239	500	-19.999999999999854	0.32	0	4	nan	nan	False	4.247
240	500	-14.000000000000119	0.32	0	7	nan	nan	False	4.241
241	500	-7.500000000000128	0.28	0	8	nan	nan	False	4.346
242	500	-14.250000000000052	0.22	0	8	nan	nan	False	4.396
243	500	-12.750000000000096	0.34	0	6	nan	nan	False	4.324
244	500	-14.250000000000085	0.22	0	6	nan	nan	False	4.49
245	500	-7.750000000000158	0.42	0	8	nan	nan	False	4.241
246	500	-11.750000000000096	0.26	0	6	nan	nan	False	4.628
247	500	-3.1530333899354446e-14	0.4	0	7	nan	nan	False	4.04
248	500	-26.75000000000011	0.26	0	8	nan	nan	False	4.16
249	500	-10.5000000000001	0.28	0	7	nan	nan	False	4.336
250	500	-17.999999999999865	0.4	0	7	nan	nan	False	4.251
251	500	-7.499999999999881	0.52	0	5	nan	nan	False	4.08
252	500	-11.000000000000203	0.32	0	6	nan	nan	False	4.184
253	500	-21.250000000000114	0.3	0	6	nan	nan	False	4.441
254	500	-1316.7500000000105	0.26	1	7	nan	nan	False	4.458
255	500	-2.5000000000000266	0.36	0	7	nan	nan	False	4.519
256	500	-11.50000000000018	0.36	0	6	nan	nan	False	4.285
257	500	-12.750000000000156	0.34	0	5	nan	nan	False	4.246
258	500	-25.999999999999808	0.32	0	7	nan	nan	False	4.123
259	500	-11.250000000000142	0.22	0	7	nan	nan	False	4.352
260	500	-6.250000000000156	0.3	0	6	nan	nan	False	4.561
261	500	-22.749999999999773	0.18	0	7	nan	nan	False	4.727
262	500	-13.750000000000181	0.18	0	6	nan	nan	False	4.782
263	500	-8.750000000000117	0.26	0	7	nan	nan	False	4.232
264	500	-38.49999999999971	0.36	0	7	nan	nan	False	4.428
265	500	-7.5000000000001386	0.28	0	7	nan	nan	False	4.466
266	500	-16.750000000000163	0.18	0	8	nan	nan	False	4.554
267	500	-12.500000000000165	0.2	0	7	nan	nan	False	4.418
268	500	-3.7499999999999982	0.34	0	6	nan	nan	False	4.178
269	500	-6.7500000000001386	0.34	0	5	nan	nan	False	4.481
270	500	-3.042011087472929e-14	0.4	0	5	nan	nan	False	4.096
271	500	1.249999999999941	0.42	0	5	nan	nan	False	4.11
272	500	-6.250000000000144	0.3	0	6	nan	nan	False	4.166
273	500	-6.250000000000172	0.3	0	7	nan	nan	False	4.382
274	500	-45.00000000000004	0.4	0	5	nan	nan	False	4.358
275	500	-18.750000000000192	0.1	0	7	nan	nan	False	4.467
276	500	-5.000000000000059	0.32	0	7	nan	nan	False	4.233
277	500	-15.750000000000108	0.34	0	7	nan	nan	False	4.041
278	500	-1013.2500000000059	0.22	1	6	nan	nan	False	4.679
279	500	-16.750000000000085	0.42	0	6	nan	nan	False	4.196
280	500	-12.249999999999906	0.3	0	7	nan	nan	False	4.313
281	500	-987.7500000000026	0.34	2	7	nan	nan	False	4.39
282	500	-19.250000000000092	0.38	0	4	nan	nan	False	4.483
283	500	-22.249999999999922	0.38	0	4	nan	nan	False	4.037
284	500	-22.499999999999723	0.28	0	8	nan	nan	False	4.126
285	500	-11.000000000000178	0.32	0	7	nan	nan	False	4.088
286	500	-22.999999999999904	0.32	0	6	nan	nan	False	4.304
287	500	-10.999999999999945	0.32	0	6	nan	nan	False	4.182
288	500	-4.250000000000116	0.38	0	6	nan	nan	False	4.27
289	500	-12.250000000000117	0.3	0	7	nan	nan	False	4.563
290	500	-1.2499999999999263	0.38	0	7	nan	nan	False	4.399
291	500	-20.749999999999915	0.26	0	7	nan	nan	False	4.376
292	500	-34.74999999999975	0.18	0	8	nan	nan	False	4.692
293	500	-15.500000000000101	0.2	0	7	nan	nan	False	4.304
294	500	-3.7500000000001807	0.34	0	4	nan	nan	False	4.241
295	500	-205.9999999999996	0.32	1	6	nan	nan	False	4.55
296	500	-8.50000000000015	0.36	0	6	nan	nan	False	4.264
297	500	-16.000000000000007	0.24	0	8	nan	nan	False	4.422
298	500	-13.500000000000178	0.28	0	8	nan	nan	False	4.182
299	500	-16.250000000000142	0.14	0	8	nan	nan	False	4.76
300	500	-9.25000000000016	0.3	0	7	nan	nan	False	4.335
301	500	-19.250000000000107	0.14	0	7	nan	nan	False	4.649
302	500	-13.749999999999995	0.42	0	4	nan	nan	False	4.536
303	500	-4.25000000000011	0.38	0	6	nan	nan	False	4.465
304	500	-5.000000000000022	0.32	0	5	nan	nan	False	4.181
305	500	-11.75000000000008	0.26	0	7	nan	nan	False	4.604
306	500	-1421.0000000000123	0.32	1	8	nan	nan	False	4.154
307	500	-10.000000000000139	0.24	0	7	nan	nan	False	4.337
308	500	-10.500000000000153	0.28	0	6	nan	nan	False	4.546
309	500	-39.25000000000016	0.3	0	7	nan	nan	False	4.169
310	500	-22.250000000000004	0.38	0	5	nan	nan	False	4.251
311	500	-19.250000000000146	0.14	0	8	nan	nan	False	4.565
312	500	-6.750000000000152	0.34	0	5	nan	nan	False	4.597
